group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
matrix_multiplication,,,,,61218300.0,ns,6
matrix_multiplication,,,,,58417600.0,ns,6
matrix_multiplication,,,,,58006100.0,ns,6
matrix_multiplication,,,,,58789600.0,ns,6
matrix_multiplication,,,,,58624400.0,ns,6
matrix_multiplication,,,,,58718300.0,ns,6
matrix_multiplication,,,,,58415500.0,ns,6
matrix_multiplication,,,,,59532900.0,ns,6
matrix_multiplication,,,,,58068500.0,ns,6
matrix_multiplication,,,,,57777900.0,ns,6
matrix_multiplication,,,,,55395400.0,ns,6
matrix_multiplication,,,,,53721500.0,ns,6
matrix_multiplication,,,,,52790900.0,ns,6
matrix_multiplication,,,,,51072100.0,ns,6
matrix_multiplication,,,,,49889800.0,ns,6
matrix_multiplication,,,,,49237600.0,ns,6
matrix_multiplication,,,,,47670600.0,ns,6
matrix_multiplication,,,,,46426100.0,ns,6
matrix_multiplication,,,,,45864900.0,ns,6
matrix_multiplication,,,,,44836200.0,ns,6
matrix_multiplication,,,,,44579600.0,ns,6
matrix_multiplication,,,,,43460600.0,ns,6
matrix_multiplication,,,,,43919300.0,ns,6
matrix_multiplication,,,,,43538500.0,ns,6
matrix_multiplication,,,,,43781000.0,ns,6
matrix_multiplication,,,,,43865100.0,ns,6
matrix_multiplication,,,,,43760400.0,ns,6
matrix_multiplication,,,,,43950900.0,ns,6
matrix_multiplication,,,,,43577900.0,ns,6
matrix_multiplication,,,,,43666400.0,ns,6
matrix_multiplication,,,,,43546000.0,ns,6
matrix_multiplication,,,,,43888700.0,ns,6
matrix_multiplication,,,,,44163600.0,ns,6
matrix_multiplication,,,,,43527400.0,ns,6
matrix_multiplication,,,,,43516000.0,ns,6
matrix_multiplication,,,,,43687300.0,ns,6
matrix_multiplication,,,,,44152500.0,ns,6
matrix_multiplication,,,,,43867900.0,ns,6
matrix_multiplication,,,,,44414100.0,ns,6
matrix_multiplication,,,,,43560300.0,ns,6
matrix_multiplication,,,,,44845200.0,ns,6
matrix_multiplication,,,,,43523800.0,ns,6
matrix_multiplication,,,,,43554200.0,ns,6
matrix_multiplication,,,,,43271700.0,ns,6
matrix_multiplication,,,,,44365600.0,ns,6
matrix_multiplication,,,,,44510300.0,ns,6
matrix_multiplication,,,,,43614100.0,ns,6
matrix_multiplication,,,,,44089600.0,ns,6
matrix_multiplication,,,,,44488000.0,ns,6
matrix_multiplication,,,,,43936200.0,ns,6
matrix_multiplication,,,,,44021300.0,ns,6
matrix_multiplication,,,,,44078400.0,ns,6
matrix_multiplication,,,,,43515800.0,ns,6
matrix_multiplication,,,,,43449200.0,ns,6
matrix_multiplication,,,,,43499900.0,ns,6
matrix_multiplication,,,,,44187500.0,ns,6
matrix_multiplication,,,,,43544300.0,ns,6
matrix_multiplication,,,,,43888800.0,ns,6
matrix_multiplication,,,,,44020300.0,ns,6
matrix_multiplication,,,,,43583300.0,ns,6
matrix_multiplication,,,,,43689400.0,ns,6
matrix_multiplication,,,,,43483300.0,ns,6
matrix_multiplication,,,,,44825600.0,ns,6
matrix_multiplication,,,,,43487700.0,ns,6
matrix_multiplication,,,,,43623800.0,ns,6
matrix_multiplication,,,,,43541200.0,ns,6
matrix_multiplication,,,,,43641900.0,ns,6
matrix_multiplication,,,,,43580600.0,ns,6
matrix_multiplication,,,,,43504700.0,ns,6
matrix_multiplication,,,,,44002100.0,ns,6
matrix_multiplication,,,,,44554100.0,ns,6
matrix_multiplication,,,,,46831900.0,ns,6
matrix_multiplication,,,,,46739400.0,ns,6
matrix_multiplication,,,,,45040900.0,ns,6
matrix_multiplication,,,,,44522400.0,ns,6
matrix_multiplication,,,,,43493900.0,ns,6
matrix_multiplication,,,,,43533100.0,ns,6
matrix_multiplication,,,,,44094100.0,ns,6
matrix_multiplication,,,,,45325600.0,ns,6
matrix_multiplication,,,,,45072500.0,ns,6
matrix_multiplication,,,,,45477400.0,ns,6
matrix_multiplication,,,,,45353600.0,ns,6
matrix_multiplication,,,,,46846200.0,ns,6
matrix_multiplication,,,,,43919300.0,ns,6
matrix_multiplication,,,,,43933100.0,ns,6
matrix_multiplication,,,,,45571100.0,ns,6
matrix_multiplication,,,,,43943500.0,ns,6
matrix_multiplication,,,,,43576100.0,ns,6
matrix_multiplication,,,,,43469100.0,ns,6
matrix_multiplication,,,,,44480400.0,ns,6
matrix_multiplication,,,,,43641300.0,ns,6
matrix_multiplication,,,,,44356000.0,ns,6
matrix_multiplication,,,,,44560300.0,ns,6
matrix_multiplication,,,,,46522100.0,ns,6
matrix_multiplication,,,,,45884100.0,ns,6
matrix_multiplication,,,,,45509500.0,ns,6
matrix_multiplication,,,,,44976800.0,ns,6
matrix_multiplication,,,,,45002600.0,ns,6
matrix_multiplication,,,,,43809700.0,ns,6
matrix_multiplication,,,,,43750700.0,ns,6
